,Date,last_20_pred
366,2019-03-19,4499.18043462395
367,2019-03-23,4461.013460980859
368,2019-03-27,4422.84648733777
369,2019-03-31,4544.308018002696
370,2019-04-04,4665.76954866762
371,2019-04-08,4717.32150231689
372,2019-04-12,4766.14450307232
373,2019-04-16,4809.80274167461
374,2019-04-20,4845.143393378815
375,2019-04-24,4880.48404508302
376,2019-04-28,4856.23965578375
377,2019-05-02,4831.99526648448
378,2019-05-06,4802.20362390119
379,2019-05-10,4630.4803497792
380,2019-05-14,4521.75633191829
381,2019-05-18,4468.8435960639545
382,2019-05-22,4415.93086020962
383,2019-05-26,4361.67034531096
384,2019-05-30,4307.4098304123
385,2019-06-03,4170.02010435732
386,2019-06-07,4435.7982408584
387,2019-06-11,4517.50556143208
388,2019-06-15,4531.941005998709
389,2019-06-19,4546.37645056534
390,2019-06-23,4590.74001701919
391,2019-06-27,4635.10358347304
392,2019-07-01,4766.30733883208
393,2019-07-05,4757.68466326251
394,2019-07-09,4767.52462096687
395,2019-07-13,4793.837169463005
396,2019-07-17,4820.14971795914
397,2019-07-21,4890.7538188349
398,2019-07-25,4961.35791971066
399,2019-07-29,4952.95605410205
400,2019-08-02,4655.56428536653
401,2019-08-06,4531.81387090084
402,2019-08-10,4538.71507614897
403,2019-08-14,4545.6162813971
404,2019-08-18,4625.057139388175
405,2019-08-22,4704.49799737925
406,2019-08-26,4595.86099754784
407,2019-08-30,4693.40934541368
408,2019-09-03,4636.63766746885
409,2019-09-07,4775.487702481025
410,2019-09-11,4914.3377374932
411,2019-09-15,4896.130073544615
412,2019-09-19,4877.92240959603
413,2019-09-23,4830.12634358136
414,2019-09-27,4731.76977108485
415,2019-10-01,4719.82898549372
416,2019-10-05,4716.181245450185
417,2019-10-09,4712.53350540665
418,2019-10-13,4788.297418472185
419,2019-10-17,4864.06133153772
420,2019-10-21,4873.15252220716
421,2019-10-25,4923.93877878711
422,2019-10-29,4958.12736772679
423,2019-11-02,5008.492151172764
424,2019-11-06,5058.85693461874
425,2019-11-10,5088.534233633895
426,2019-11-14,5118.21153264905
427,2019-11-18,5162.08117616057
428,2019-11-22,5093.3157120571
429,2019-11-26,5178.3315892594
430,2019-11-30,5136.706016653065
431,2019-12-04,5095.08044404673
432,2019-12-08,5199.468689007845
433,2019-12-12,5303.85693396896
434,2019-12-16,5363.46741397026
435,2019-12-20,5460.6049857655
436,2019-12-24,5471.90742248712
437,2019-12-28,5513.955565837552
438,2020-01-01,5556.003709187985
439,2020-01-05,5598.051852538418
440,2020-01-09,5640.09999588885
441,2020-01-13,5681.6123866417
442,2020-01-17,5736.06476226142
443,2020-01-21,5733.20281097867
444,2020-01-25,5675.48921870849
445,2020-01-29,5617.77562643831
446,2020-02-02,5710.74690495461
447,2020-02-06,5803.71818347091
448,2020-02-10,5798.66073364832
449,2020-02-14,5907.67304728843
450,2020-02-18,5867.19962170448
