Trade Date,Index Value,Net Change,High,Low
1/3/24,"9,152.49420636744",-134.48418945861,"9,219.83482940931","9,137.93271821705"
1/2/24,"9,286.97839582605",-300.93670250496,"9,462.15947730043","9,231.62714889912"
12/29/23,"9,587.91509833101",-62.48494879331,"9,662.17399600839","9,544.32037292162"
12/28/23,"9,650.40004712432",-9.76072547085,"9,681.93999419773","9,645.99367262285"
12/27/23,"9,660.16077259517",-1.65619317508,"9,697.09477783395","9,629.10932747245"
12/26/23,"9,661.81696577025",95.25352524796,"9,678.70554541760","9,595.78227193637"
12/22/23,"9,566.56344052229",43.36869965339,"9,590.66246444314","9,502.62689890679"
12/21/23,"9,523.19474086890",178.77082018132,"9,533.67247546358","9,438.07513919367"
12/20/23,"9,344.42392068758",-170.43216181488,"9,536.00901210959","9,343.25583425227"
12/19/23,"9,514.85608250246",39.60759555282,"9,528.81465538774","9,481.46233868774"
12/18/23,"9,475.24848694964",-8.61158211942,"9,497.69362478299","9,419.25951774452"
12/15/23,"9,483.86006906906",79.18489210977,"9,544.62268152739","9,439.62879800299"
12/14/23,"9,404.67517695929",93.42172907626,"9,463.04272112714","9,317.42006809842"
12/13/23,"9,311.25344788303",126.52555937409,"9,336.31407985256","9,161.57634749678"
12/12/23,"9,184.72788850894",89.24846762760,"9,186.79075782048","9,061.55152917953"
12/11/23,"9,095.47942088134",208.40491814370,"9,119.73224269436","8,927.96137629201"
12/8/23,"8,887.07450273764",40.07543567347,"8,906.64030278116","8,790.80357596575"
12/7/23,"8,846.99906706417",160.06307035631,"8,861.90097869717","8,719.44106126091"
12/6/23,"8,686.93599670786",-62.15131614798,"8,830.02588035359","8,679.90453235522"
12/5/23,"8,749.08731285584",-18.73136498688,"8,750.90896223819","8,665.54236433771"
