,15_pred_ahead,30_pred_ahead,60_pred_ahead,180_pred_ahead,365_pred_ahead
155,2370.43658647044,2370.43658647044,2370.43658647044,2370.43658647044,2370.43658647044
156,2353.60974570889,2353.60974570889,2353.60974570889,2353.60974570889,2353.60974570889
157,2355.50950625648,2355.50950625648,2355.50950625648,2355.50950625648,2355.50950625648
158,2374.55289449844,2374.55289449844,2374.55289449844,2374.55289449844,2374.55289449844
159,2332.84338372466,2332.84338372466,2332.84338372466,2332.84338372466,2332.84338372466
160,2346.65862344043,2346.65862344043,2346.65862344043,2346.65862344043,2346.65862344043
161,2366.45340770377,2366.45340770377,2366.45340770377,2366.45340770377,2366.45340770377
162,2374.49013070596,2374.49013070596,2374.49013070596,2374.49013070596,2374.49013070596
163,2371.52281718401,2371.52281718401,2371.52281718401,2371.52281718401,2371.52281718401
164,2361.52538062824,2361.52538062824,2361.52538062824,2361.52538062824,2361.52538062824
165,2389.70274270605,2389.70274270605,2389.70274270605,2389.70274270605,2389.70274270605
166,2362.49763952085,2362.49763952085,2362.49763952085,2362.49763952085,2362.49763952085
167,2342.37539563886,2342.37539563886,2342.37539563886,2342.37539563886,2342.37539563886
168,2336.46955755685,2336.46955755685,2336.46955755685,2336.46955755685,2336.46955755685
169,2310.09027737186,2310.09027737186,2310.09027737186,2310.09027737186,2310.09027737186
170,2270.37153719389,2270.37153719389,2270.37153719389,2270.37153719389,2270.37153719389
171,2301.11210798405,2301.11210798405,2301.11210798405,2301.11210798405,2301.11210798405
